baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PTDSS2,1.88735124096563,2.23228608292349,0.856005759376073,2.60779329866958,0.00911279639003307,NA
PTOV1-AS1,4.21602529859299,-1.18835560479241,0.50961305927396,-2.33187824206358,0.0197070974059942,NA
RAB12,19.6379959975,-1.19505883727193,0.37402471410672,-3.19513334867745,0.00139766246622812,0.668344896224597
RAB23,8.92246853074603,-1.81536572731411,0.780044483026255,-2.32725923561594,0.0199514719914869,0.999483955276918
RABAC1,19.5512472877602,0.756496566523518,0.291459727942771,2.59554406319921,0.00944412927088083,0.999483955276918
RAD54B,19.4996004142124,-1.18103545127563,0.470938622677902,-2.50783306869142,0.0121474038982917,0.999483955276918
RBMXL1,35.7841647320915,-0.580146276476099,0.248956687437383,-2.33031007300021,0.0197897687579001,0.999483955276918
RDH13,10.4877564181989,0.887846337639083,0.365036585149115,2.43221193096688,0.0150069235986028,0.999483955276918
REEP5,51.5834082316446,0.416012370422321,0.175515345248856,2.37023361024345,0.0177768491144469,0.999483955276918
RIOX1,30.6906947029766,-0.661270138384592,0.266368972639309,-2.48253440268368,0.0130451470554586,0.999483955276918
RNA18SN1,115412.233871623,-0.908716936179395,0.21185385625356,-4.28935754226625,1.79190705640824e-05,0.0226002004800662
RNA18SN2,115483.825008864,-0.908531161062563,0.211664176575992,-4.29232369765878,1.76812930055249e-05,0.0226002004800662
RNA18SN3,115430.144887638,-0.907522821051944,0.211871637881603,-4.28336152080478,1.8409069085039e-05,0.0226002004800662
RNA18SN4,115404.621309391,-0.908323522550888,0.211860603264774,-4.28736399572933,1.80805888358819e-05,0.0226002004800662
RNA18SN5,115412.068453368,-0.907900933404943,0.211768121674843,-4.28724080954437,1.80906148176582e-05,0.0226002004800662
RNA45SN1,3815.78733996616,-0.743528546942549,0.162445703705973,-4.57708963659843,4.71489468017369e-06,0.0173649571070797
RNA45SN4,3599.49167731541,-0.780238994530651,0.184761398016524,-4.22295459390749,2.41120410338654e-05,0.0266413941383179
RNA45SN5,3817.34362854271,-0.743504859487151,0.161697410649078,-4.59812471023878,4.26310797467712e-06,0.0173649571070797
RNASEH2C,28.9560688967439,0.59558501352012,0.247078869887102,2.41050565672516,0.015930424283185,0.999483955276918
