gene_id	gene_name	SRR10662892	SRR10662893	SRR10662894	SRR10662895	SRR10662896	SRR10662897	SRR10662898	SRR10662899	SRR10662900	SRR10662901	SRR10662902	SRR10662903	SRR10662904	SRR10662905	SRR10662906	SRR10662907	SRR10662908	SRR10662909
COX15	COX15	68.356	26	78.943	43.001	92.978	127.221	95.84	13	3	24	32	32	61.397	24	12	112	31.601	35.998
COX16	COX16	8	12	35	24	25	74	50.07	5.921	1	9.553	5	15	10	0	0	26	8	15
COX17	COX17	7	5	29	7	6	35	29	8	3	1	5	3	3	1	11	23	1	15
COX18	COX18	27	20	46	30	32	47	38	14	3	8	16	28	24	5	11	47	17	29
COX19	COX19	28	13	53	18	55	92	52	12	6	2	26	14	22	14	11	36	10	20
COX20	COX20	52	42	118	66	68	142	86.999	17	4	24	27	37	41	18	30	145	28	21
COX4I1	COX4I1	157.999	153	396	145	216	623.001	446	55	38	44.999	60	130	85	86	103	527.999	47	147
COX4I2	COX4I2	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
COX5A	COX5A	26	25	92	29	54	167	87	18	11	11	8	30	33	30	26	108	6	23
COX5B	COX5B	29	17	93	38	33	185	125	16	9	14	15	20	14	22	26	173	4	42
COX6A1	COX6A1	43	18	84	38	38	163	104	14	8	4	0	20	17	20	11	103	4	31
COX6A2	COX6A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1	COX6B1	20	24	69	33	28	191	110	17	7	5	6	14	16	22	27	210	3	41
COX6B2	COX6B2	4	0	1	3	1	0	2	0	0	3	1	1	2	3	0	0	0	1
COX6C	COX6C	46	51	113	47	29	212	153	14	6	11	18	31	23	26	28	218	10	48
COX7A1	COX7A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7A2	COX7A2	39	18	60	26.001	24	140.999	98	8	2	7	12	28	22	19	14	156	15	24.001
COX7A2L	COX7A2L	69.001	42.999	137	91.001	90	179	126.999	36	14.001	20	35.001	51.999	48.999	13	32	198.001	19.999	49
COX7B	COX7B	25	28	77	45	23	115	63	4	2	8	3	19	18	28	26	120	5	24
COX7B2	COX7B2	0	0	0	3	4	0	2	0	0	0	3	1	5	2	0	0	3	2
COX7C	COX7C	89	63	197	105	59	436	313	40	43	36	37	35	44	39	63	441	18	95
COX8A	COX8A	39	13	67	25	19	142	97	10	12	5	9	15	16	35	26	154	12	33
COX8C	COX8C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CP	CP	21.684	23.904	8.759	41.619	28.91	11.467	12.122	6.001	1.302	9.128	13.102	7.913	17.855	9.356	3	7.177	2	14.012
CPA1	CPA1	1	1	0	5	1	0	1	0	0	0	1	0	1	1	0	3	0	0
CPA2	CPA2	0	1	2	9	0	0	0	0	0	0	4	5	2	0	0	0	0	1
CPA3	CPA3	5	6	5	4	6	0	3	0	0	3	3	2	6	3	0	0	0	3
CPA4	CPA4	11	4	1	8	5	0	2	0	0	4	5	5	9	8.169	0	0	6	1
CPA5	CPA5	6	7	3	4	4	6	0	0	3	0	4	5	1	0	0	10	1	3
CPA6	CPA6	5	7	2	8	4	0	6	0	0	3	0	4	4	3	1	0	3	5
CPAMD8	CPAMD8	9	6	6	6	2	1	6	0	0	2	6	5	7	6	2	10	1	0
CPB1	CPB1	5	2	3	8	2	0	0	0	0	0	0	1	2	0	3	1	1	3
CPB2	CPB2	1	1	1	3	2	0	1	0	0	1	1	0	0	0	1	1	3	6
CPB2-AS1	CPB2-AS1	17	19	10	15.422	37	0	24	5	0	21	4	15	15	10	2	0	13	11
CPD	CPD	65	61	83	58	97	106	73	13	9	24	33	44	57	26	50	89	26	42
CPE	CPE	10	2	1	6	6	1	7	0	0	0	2	3	4	2	1	0	1	8
CPEB1	CPEB1	13	6	4	8	6	0	3	1	0	2	2	10	7	5	1	7	4	9
CPEB1-AS1	CPEB1-AS1	0	0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0
CPEB2	CPEB2	50	18	51	23	60	73	102	3	8	17	14	38	28	11	9	78	25	15
CPEB2-DT	CPEB2-DT	5	2	2	1	4	0	4	0	1	2	1	5	1	2	0	0	0	0
CPEB3	CPEB3	21	20	21	26	26	42	22	9	1	8	9	15	14	16	9	20	3	13
CPEB4	CPEB4	68	41	66	64	111	138	113	19	3	22	36	54	67	46	35	57	42	36
CPED1	CPED1	16	6	18	23	35	2	22	3	0	15	13	21	27	2	0	0	9	3
CPHXL	CPHXL	2	3	2	3	6	0	0	0	0	7	2	2	5	0	1	0	0	6
CPLANE1	CPLANE1	43	41	47	54	52	32	36	0	1	25	20	33	50	16	6	52	20	20
CPLANE2	CPLANE2	5	0	4	0	2	2	2	0	0	0	1	4	0	3	1	3	0	3
CPLX1	CPLX1	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0
CPLX2	CPLX2	8	6	0	5	5	5	0	1	0	1	6	4	2	0	2	0	0	2
CPLX3	CPLX3	0	4	0	0	0	2	0	0	0	0	0	0	6	1	0	2	3	0
CPLX4	CPLX4	7	6	6	8	12	0	6	0	0	1	4	8	11	0	0	1	5	3
CPM	CPM	29	36	17	37	49	36	45	1	5	7	23	23	52	15	17	19	28	7
CPN1	CPN1	4	2	3	9	1	1	6	0	0	3	0	2	11	2	1	0	5	0
CPN2	CPN2	3	0	0	1	6	1	1	0	0	1	2	1	5	0	0	0	2	0
CPNE1	CPNE1	59.364	42.831	168.852	56.928	98.538	179.07	137.483	12.897	5.547	41.151	24.157	45.187	29.724	17.774	17.804	121.387	8.05	38.413
CPNE2	CPNE2	2	7	2	3	4	5	2	0	0	1	3	4	3	6	1	5	0	0
CPNE3	CPNE3	76	40	123	88	95	191	150	22	2	19	24	56	72	40	41	142	16	47
CPNE4	CPNE4	4	3	4	14	16	0	18	0	5	5	4	7	8	4	1	0	7	13
CPNE5	CPNE5	2	0	1	3	1	2	1	0	0	0	0	2	0	1	0	0	0	1
CPNE6	CPNE6	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
CPNE7	CPNE7	2	2	6	1	4	6	16	0	0	1	0	0	1	2	0	0	0	0
CPNE8	CPNE8	19	6	36	30	37	36	18	2	0	9	7	8	23	11	9	27	5	10
CPNE9	CPNE9	2	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
